SITE,REP,DEPTH,SWC,pH,PO4,TKN,TP,NO3_N_WK0,NO3_N_WK1,NO3_N_WK4,NO3_N_WK01,NO3_N_WK04,NO3_N_WK14,INORG_N,TOT_N_WK01,TOT_N_WK04,TOT_N_WK14,NH4_N_WK0,NH4_N_WK1,NH4_N_WK4,NH4_N_WK01,NH4_N_WK04,NH4_N_WK14,ORGC,INORGC,TOTROOT,TAPROOT,INTERROOT,FINEROOT
A,1,5,0.0531,8.5,6.1,0.4935,0.509,10.71,17.91,25.15,7.2,14.44,7.24,14.69,3.68,11.05,7.37,3.98,0.46,0.59,-3.52,-3.39,0.13,0.31,0.03,979.3,29.4,293.8,656.1
A,2,5,0.044,9.3,7.5,0.4775,0.576,9.2,18.23,32.23,9.03,23.03,14,14.26,4.53,18.55,14.02,5.06,0.56,0.58,-4.5,-4.48,0.02,0.7,0.1,467.4,46.7,187,233.7
A,3,5,0.0228,9.2,2.1,0.373,0.468,1.89,6.25,12.73,4.36,10.84,6.48,2.54,4.22,10.69,6.48,0.65,0.51,0.5,-0.14,-0.15,0,0.35,0.05,1529.8,0,153,1376.8
A,4,5,0.0705,9,11,0.773,0.627,14.68,26.13,8.84,11.45,-5.84,-17.29,21.32,5.46,-11.94,-17.39,6.64,0.64,0.54,-5.99,-6.1,-0.1,0.75,0.07,1134.9,0,113.5,1021.4
A,5,5,0.0308,9.3,3.9,0.448,0.492,6.15,11.34,20.11,5.18,13.95,8.77,7.64,4.69,13.05,8.36,1.49,0.99,0.59,-0.49,-0.9,-0.41,0.42,0.04,669.2,0,133.8,535.3
A,6,5,0.0645,8.9,7.6,0.675,0.675,8.56,20.51,8.78,11.95,0.21,-11.74,17.93,3.39,-8.58,-11.97,9.37,0.81,0.58,-8.56,-8.79,-0.23,0.59,0.03,1375.5,0,137.6,1238
A,1,15,0.0238,9.1,2.2,0.347,0.467,5.65,8.63,10.33,2.98,4.68,1.7,6.6,2.59,4.2,1.61,0.95,0.56,0.47,-0.39,-0.48,-0.09,0.32,0.02,1131.1,0,226.2,904.8
A,2,15,0.0817,9.1,11.6,0.844,0.642,18.52,33.84,9.88,15.32,-8.65,-23.96,29.71,4.67,-19.19,-23.85,11.19,0.54,0.65,-10.65,-10.54,0.11,0.89,0.11,2092.8,104.6,418.6,1569.6
A,3,15,0.0628,9.1,5.6,0.642,0.609,14.58,25.01,7.87,10.43,-6.71,-17.14,20.72,4.79,-12.29,-17.08,6.14,0.51,0.57,-5.64,-5.58,0.06,0.6,0.11,1355.6,0,271.1,1084.5
A,4,15,0.0279,9.2,5.9,0.645,0.636,11.77,16.07,22.21,4.3,10.44,6.14,12.46,4.11,10.26,6.15,0.69,0.5,0.51,-0.19,-0.18,0.01,0.63,0.09,3779.7,0,755.9,3023.7
A,5,15,0.0608,9,12.4,0.941,0.645,14.27,29.2,9.5,14.93,-4.77,-19.7,22.25,7.6,-12.29,-19.89,7.98,0.66,0.46,-7.33,-7.52,-0.19,0.8,0.1,104,0,83.2,20.8
A,6,15,0.0395,9.1,3.2,0.458,0.572,6.83,14.05,26.72,7.22,19.89,12.67,9.52,5.17,17.64,12.47,2.69,0.64,0.44,-2.05,-2.25,-0.2,0.53,0.04,1020.3,0,51,969.3
P,1,5,0.0509,7.8,21,1.7997,0.899,12.05,19.21,27.79,7.16,15.74,8.58,26.9,2.99,3.55,0.55,14.85,10.68,2.66,-4.17,-12.19,-8.03,1.41,0.34,105.4,0,63.2,42.2
P,2,5,0.0342,8.1,18.7,1.763,0.946,11.45,13.44,19.3,2,7.86,5.86,19.17,0.81,4.06,3.25,7.72,6.54,3.93,-1.19,-3.8,-2.61,1.61,0.32,194.7,97.4,87.6,9.7
P,3,5,0.245,8,43.2,3.675,1.248,49.56,50.1,68.81,0.55,19.25,18.71,63.15,2.62,6.76,4.15,13.59,15.66,1.1,2.07,-12.49,-14.56,3.02,0.34,74.8,0,59.8,15
P,4,5,0.1176,8.7,13.6,1.3137,0.888,16.98,20.71,20.28,3.72,3.29,-0.43,20.35,0.69,0.56,-0.13,3.37,0.34,0.64,-3.03,-2.73,0.3,1.16,0.38,189.6,0,113.7,75.8
P,5,5,0.2382,7.9,35,3.357,1.164,65.79,83.24,61.88,17.45,-3.91,-21.36,73.96,10.03,1.69,-8.34,8.17,0.75,13.77,-7.42,5.6,13.02,2.81,0.49,108.3,0,75.8,32.5
P,6,5,0.21,7.8,37.6,3.034,1.216,71.68,73.54,71.15,1.86,-0.53,-2.39,73.79,19.8,17.75,-2.05,2.11,20.05,20.39,17.94,18.28,0.34,2.34,0.41,66.2,0,33.1,33.1
P,1,15,0.0172,8.1,10.8,0.754,0.587,5,11.58,15.33,6.57,10.33,3.76,10.22,1.96,5.82,3.86,5.22,0.61,0.71,-4.61,-4.51,0.1,0.63,0.15,2138.3,106.9,534.6,1496.8
P,2,15,0.0225,8.1,10.6,1.0753,0.809,11.11,15.13,15.9,4.02,4.79,0.77,14.34,1.3,2.24,0.94,3.23,0.51,0.69,-2.72,-2.55,0.17,1.01,0.32,1358.4,67.9,407.5,882.9
P,3,15,0.1254,8.5,17.5,1.685,0.979,40.19,41.99,37.49,1.8,-2.7,-4.5,42.85,-0.6,-4.72,-4.12,2.66,0.26,0.64,-2.4,-2.02,0.38,1.64,0.37,588.8,176.6,353.3,58.9
P,4,15,0.1156,8.7,13.3,1.2793,0.904,19.12,22.22,22.79,3.1,3.67,0.57,21.32,1.25,2.12,0.87,2.2,0.35,0.65,-1.85,-1.55,0.3,1.2,0.41,2308.3,115.4,230.8,1962
P,5,15,NA,NA,NA,1.8327,0.974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47,0.46,277.8,13.9,222.2,41.7
P,6,15,0.1139,8.7,16.2,1.7467,0.988,17.16,18.74,18.25,1.58,1.09,-0.48,29.67,-9.16,-9.99,-0.82,12.51,1.77,1.43,-10.74,-11.08,-0.34,1.68,0.48,276.5,0,138.2,138.2
D,1,5,0.0052,7.9,6.9,0.3855,0.145,17.77,27.91,29.41,10.14,11.63,1.5,18.49,9.93,11.35,1.44,0.72,0.51,0.45,-0.21,-0.28,-0.06,0.3,0,55.9,0,33.5,22.3
D,2,5,0.0287,8.2,4.1,0.391,0.14,3.55,8.04,15.9,4.49,12.35,7.86,4.11,4.34,12.18,7.84,0.56,0.42,0.39,-0.15,-0.17,-0.02,0.28,0,192.1,0,9.6,182.5
D,3,5,0.053,8.2,9,0.754,0.114,14.55,23.07,34.89,8.51,20.34,11.82,25.53,-1.86,9.7,11.55,10.98,0.61,0.35,-10.37,-10.64,-0.27,0.62,0,86.1,0,68.9,17.2
D,4,5,0.0383,7.8,3.3,0.2085,0.046,1.56,7.94,11.71,6.39,10.15,3.77,3.06,5.48,9,3.54,1.5,0.59,0.35,-0.91,-1.15,-0.23,0.11,0,1264.5,0,758.7,505.8
D,5,5,0.0567,8.4,2.8,0.146,0.063,7.23,14.44,22.63,7.2,15.4,8.2,8.39,6.7,14.62,7.92,1.16,0.66,0.38,-0.5,-0.78,-0.28,0.11,0.01,19.1,0,17.1,1.9
D,6,5,0.0737,8.4,4.4,0.2375,0.061,7.05,13.24,23.43,6.2,16.38,10.19,10.44,3.89,13.27,9.39,3.39,1.08,0.28,-2.31,-3.11,-0.8,0.25,0,195.6,9.8,176,9.8
D,1,15,0.016,8.9,2.2,0.1415,0.046,3.61,4.6,5.71,0.99,2.1,1.11,6.32,-1.48,-0.34,1.13,2.71,0.25,0.27,-2.47,-2.44,0.02,0.13,0,60.4,0,54.3,6
D,2,15,0.0193,8.6,1.7,0.3175,0.095,1.12,2.98,5.18,1.86,4.05,2.2,5.71,-2.31,-0.26,2.06,4.59,0.42,0.28,-4.17,-4.31,-0.14,0.22,0,117.9,0,94.3,23.6
D,3,15,0.06,7.6,3.9,0.578,0.103,14.48,27.34,39.34,12.86,24.86,12,19.71,8.13,20.01,11.89,5.23,0.5,0.39,-4.73,-4.85,-0.11,0.34,0.01,383,0,19.1,363.8
D,4,15,0.0321,7.8,2.2,0.096,0.058,4.07,5.31,6.66,1.24,2.59,1.35,9.76,-3.88,-2.78,1.11,5.69,0.56,0.32,-5.12,-5.37,-0.24,0.09,0,2011.7,402.3,1207,402.3
D,5,15,0.0351,8.6,2.4,0.222,0.066,1.37,3,6.66,1.63,5.29,3.66,7.07,-3.22,-0.14,3.07,5.7,0.86,0.27,-4.85,-5.43,-0.59,0.21,0.01,89.7,0,85.2,4.5
D,6,15,0.0551,8.5,3.3,0.2395,0.055,6.55,10.51,15.84,3.97,9.29,5.33,9.16,2.14,6.89,4.76,2.61,0.77,0.2,-1.83,-2.4,-0.57,0.22,0.01,194.1,0,184.4,9.7
G,1,5,0.0548,8.6,6.6,0.387,0.171,19.29,23.52,34.14,4.22,14.85,10.62,20.02,4.45,14.36,9.9,0.73,0.95,0.24,0.23,-0.49,-0.72,0.32,0.39,44.1,0,44.1,0
G,2,5,0.0604,8.6,6.4,0.4295,0.215,8.26,18.61,32.83,10.35,24.58,14.22,9.22,10.24,23.81,13.56,0.96,0.85,0.19,-0.11,-0.77,-0.66,0.35,0.48,584.6,0,292.3,292.3
G,3,5,0.0499,8.5,4.4,0.255,0.185,7.65,10.21,14.8,2.56,7.15,4.59,8.33,2.57,6.63,4.07,0.68,0.68,0.16,0.01,-0.52,-0.52,0.25,0.28,424.1,0,21.2,402.9
G,4,5,0.0577,8.7,6.8,0.3745,0.199,8.69,16.34,26.8,7.64,18.11,10.46,9.46,7.87,17.49,9.61,0.77,1.01,0.16,0.23,-0.62,-0.85,0.34,0.38,387.5,155,0,232.5
G,5,5,0.0525,8.6,4,0.264,0.163,15.83,18.92,24.85,3.09,9.02,5.94,17.16,2.59,7.96,5.38,1.33,0.84,0.27,-0.5,-1.06,-0.56,0.32,0.25,162.6,0,48.8,97.6
G,6,5,0.0569,8.5,3.8,0.3655,0.222,20.26,24.61,26.64,4.35,6.38,2.03,21.83,3.59,5.09,1.5,1.57,0.81,0.28,-0.76,-1.29,-0.53,0.29,0.47,129.5,0,64.7,64.7
G,1,15,0.0384,8.5,1.9,0.336,0.203,9.61,11.33,12.67,1.72,3.06,1.34,14.36,-2.26,-1.44,0.81,4.75,0.77,0.24,-3.98,-4.5,-0.53,0.32,0.76,15.5,0,15.5,0
G,2,15,0.0318,8.3,1.8,0.3245,0.21,3.43,6.52,9.85,3.1,6.42,3.33,4.84,2.46,5.21,2.76,1.41,0.77,0.21,-0.64,-1.21,-0.57,0.37,0.67,775.8,387.9,232.7,155.2
G,3,15,0.0377,8.6,1.9,0.3865,0.229,11.73,13.54,13.92,1.8,2.18,0.38,16.48,-2.13,-2.45,-0.32,4.75,0.82,0.12,-3.93,-4.63,-0.7,0.41,0.41,61.5,0,58.4,3.1
G,4,15,0.027,8.7,3.2,0.2945,0.204,6.56,9.71,13.36,3.16,6.8,3.64,8.89,1.64,4.71,3.06,2.33,0.82,0.24,-1.52,-2.09,-0.58,0.26,0.36,519.8,0,104,415.8
G,5,15,0.0368,8.4,2,0.3255,0.213,7.14,9.81,13.09,2.66,5.94,3.28,10.32,0.3,2.96,2.65,3.18,0.82,0.19,-2.36,-2.98,-0.63,0.28,0.6,15.5,0,15.5,0
G,6,15,0.0399,8.5,2.8,0.3605,0.236,17.55,20.36,21.38,2.81,3.83,1.02,17.8,3.17,3.79,0.61,0.25,0.61,0.2,0.36,-0.04,-0.41,0.32,0.54,459.1,0,114.8,344.3
